cv_text,job_desc,score,reasoning
"Nyutdannet med master i AI, ingen jobberfaring.","Senior AI Researcher, krever 5 år erfaring.","0.2","MISMATCH: Selv om utdanningen er rett, mangler den praktiske dybden som en Senior-stilling krever."
"Selger med 10 års erfaring, vant til provisjon.","Customer Success Manager, fastlønn, fokus på kundepleie.","0.6","RISIKO: Kandidaten er vant til jakt/salg, mens denne rollen krever pleie/support. Kan bli rastløs."
"Lærer på ungdomsskole, god på pedagogikk.","Kursleder for bedrifter, voksenopplæring.","0.9","MATCH: Pedagogiske evner er direkte overførbare. Evnen til å formidle kunnskap er kjernen i begge roller."
CTO med 2 års erfaring. Kan Maling.,Søker etter CTO som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for CTO.
Salgssjef med Senior. Kan Maling.,Søker etter Salgssjef som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for Salgssjef.
Salgssjef med 2 års erfaring. Kan Maling.,Søker etter Salgssjef som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for Salgssjef.
CTO med Lærling. Kan Ledelse.,Søker etter CTO som kan Ledelse.,0.9,AUTO-GENERERT: Sjekket om Ledelse var relevant for CTO.
Salgssjef med Lærling. Kan Maling.,Søker etter Salgssjef som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for Salgssjef.
Prosjektleder med Senior. Kan Excel.,Søker etter Prosjektleder som kan Excel.,0.9,AUTO-GENERERT: Sjekket om Excel var relevant for Prosjektleder.
Frontend Utvikler med 10 års erfaring. Kan Sveising.,Søker etter Frontend Utvikler som kan Sveising.,0.9,AUTO-GENERERT: Sjekket om Sveising var relevant for Frontend Utvikler.
Lagerarbeider med 2 års erfaring. Kan React.,Søker etter Lagerarbeider som kan React.,0.9,AUTO-GENERERT: Sjekket om React var relevant for Lagerarbeider.
CTO med 10 års erfaring. Kan Excel.,Søker etter CTO som kan Excel.,0.9,AUTO-GENERERT: Sjekket om Excel var relevant for CTO.
Salgssjef med 2 års erfaring. Kan Maling.,Søker etter Salgssjef som kan Maling.,0.9,AUTO-GENERERT: Sjekket om Maling var relevant for Salgssjef.
CTO med Senior. Kan Python.,Søker etter CTO som kan Python.,0.9,AUTO-GENERERT: Sjekket om Python var relevant for CTO.
CTO med Lærling. Kan Ledelse.,Søker etter CTO som kan Ledelse.,0.9,AUTO-GENERERT: Sjekket om Ledelse var relevant for CTO.
Kundeservice med 10 års erfaring. Kan React.,Søker etter Kundeservice som kan React.,0.9,AUTO-GENERERT: Sjekket om React var relevant for Kundeservice.
Frontend Utvikler med 2 års erfaring. Kan Ledelse.,Søker etter Frontend Utvikler som kan Ledelse.,0.9,AUTO-GENERERT: Sjekket om Ledelse var relevant for Frontend Utvikler.
